Minisector,RUS,ALO,Fastest
0,304.6183903554019,301.8591077687646,RUS
1,238.07478095853776,219.57569845040737,RUS
2,138.9825294701376,142.63908545370438,ALO
3,224.03153418852463,223.14867952051353,RUS
4,172.41265335721167,165.61082742285714,RUS
5,171.37311462737253,182.4917316864539,ALO
6,253.43584973565768,253.37691611733334,RUS
7,281.01513286989933,276.9852796546482,RUS
8,288.8030748406417,285.3065295706278,RUS
9,260.3874786277477,260.67278842412696,ALO
10,245.97462988248353,241.3313495202497,RUS
11,242.05880067389867,239.88527460077228,RUS
12,215.37958690701794,214.881010778355,RUS
13,125.8055824068138,131.27767501205562,ALO
14,140.99464350598444,144.18444804196432,ALO
15,169.6489257720656,176.6995464312018,ALO
16,245.90446358687828,248.34560841467263,ALO
17,241.131653258836,244.53791206816464,ALO
18,114.6105854647595,113.68006093410843,RUS
19,196.3378884846804,199.16250332091096,ALO
20,201.11606880883718,203.9168451548366,ALO
21,238.29884276680272,232.883099448647,RUS
22,268.81957683595476,263.5998918469841,RUS
23,286.4622395733333,282.4294269636364,RUS
24,298.66953865904765,294.31551512190475,RUS
25,303.33249983999997,299.0388885333333,RUS
