Minisector,SAI,GAS,Fastest
0,281.69988531738386,293.3296253631862,GAS
1,296.72558217461227,315.81542425767407,GAS
2,291.5968276068237,304.0803644062338,GAS
3,175.76924393547785,176.4275828362056,GAS
4,216.7475342570598,211.5541738722033,SAI
5,194.8922487851799,195.98405565622323,GAS
6,175.9754147049906,171.45710993054308,SAI
7,202.33949463723786,198.46563091559378,SAI
8,254.59466604285714,251.57295169145166,SAI
9,261.86490590202544,254.910201666023,SAI
10,166.16832034741597,165.357422216895,SAI
11,231.766669448506,230.0766936483528,SAI
12,111.50376640750335,113.19049568301267,GAS
13,218.13189387776498,217.63341345182064,SAI
14,274.53514774494334,275.16965975983436,GAS
15,288.78845966084526,285.7009092654546,SAI
16,208.44712937509797,208.12228196232806,SAI
17,182.025185475213,175.17867573410646,SAI
18,265.57027567238094,261.17001370523116,SAI
19,290.09996035911604,288.2669102634536,SAI
20,301.42440035959595,299.9453903044596,SAI
21,301.20248914839823,302.2117532633766,GAS
22,288.74803178763415,279.0609382541759,SAI
23,113.56827899613458,110.42835791618222,SAI
24,236.2217189396355,227.4341956726949,SAI
25,,265.52031239999997,GAS
