Minisector,PIA,VER,Fastest
0,297.5119199927746,294.3814178556759,PIA
1,170.5059265722546,160.83786491787345,PIA
2,175.48174109373932,181.54560803459327,VER
3,252.95768725394285,252.97244815867066,VER
4,288.39125351339254,284.0221706764289,PIA
5,253.58724090510802,260.7285118114286,VER
6,233.62216212453134,227.79366813972015,PIA
7,157.398032446749,150.64633490114625,PIA
8,229.30860568435767,226.23465166230488,PIA
9,283.7347807047619,280.4011050408081,PIA
10,305.1311377750932,300.5339889625197,PIA
11,314.53563180440125,311.01986949010103,PIA
12,319.4846198269006,315.76422217394366,PIA
13,317.5215765982547,315.55220291127824,PIA
14,124.19838569530837,126.77955354362801,VER
15,117.53197088204112,119.92621116847509,VER
16,103.87297407637402,109.60387528299731,VER
17,237.2980524051777,235.3674273068197,PIA
18,286.26661828848484,284.665647813666,PIA
19,305.3883286030382,304.08599140685715,PIA
20,315.19712907402317,314.2396646464647,PIA
21,316.80897609916855,315.10367036570926,PIA
22,122.84793037376956,124.70219657110668,VER
23,212.00121311181022,215.45883439069186,VER
24,271.80091471179577,273.16540268336706,VER
25,286.9124992,,PIA
