Minisector,OCO,LEC,Fastest
0,293.5753071803687,292.12155779710145,OCO
1,302.6990531393939,300.6278984811594,OCO
2,283.4038168444444,283.40900275581816,LEC
3,116.7213987385477,112.77010523606636,OCO
4,216.93036814750923,230.29568893793103,LEC
5,276.0504880141283,272.11660082040106,OCO
6,212.8577908175816,207.2861534117647,OCO
7,167.00867428738076,176.61773630660457,LEC
8,212.97029505376344,218.27494939435854,LEC
9,217.01892496134008,228.0211115631746,LEC
10,118.69803375939381,118.14136986592094,OCO
11,231.31908928735632,232.16532127594843,LEC
12,119.08985970463891,120.40587343328004,LEC
13,225.26854635086679,227.81401804400656,LEC
14,274.59620575873015,273.7062496888889,OCO
15,218.7269226150163,218.2170324457143,OCO
16,194.21869193142857,202.86045377939394,LEC
17,255.51086991462924,255.63040098765433,LEC
18,198.15047408761905,203.62005387488762,LEC
19,190.82134655238096,192.48748185687074,LEC
20,267.0579559575353,264.57845199238096,OCO
21,289.6458772007387,288.43576377777777,OCO
22,169.97539686367818,163.56544796040188,OCO
23,217.36851084360995,223.26833216000003,LEC
24,273.40459852270834,274.0772560203106,LEC
25,285.9624992,,OCO
