Minisector,GAS,LAW,Fastest
0,313.9495154410339,311.18067162642666,GAS
1,326.9908527769133,326.25119779952496,GAS
2,332.1793092524494,331.26356269286555,GAS
3,302.0510249341793,300.67936630717685,GAS
4,150.30644802365933,147.41896737758296,GAS
5,183.59334672020626,183.1823863556729,GAS
6,210.78085725372685,208.29910065789943,GAS
7,253.03334955903608,257.3062924505772,LAW
8,240.56082284539139,226.39704678309775,GAS
9,146.26146339997985,144.10335363441925,GAS
10,205.66221721552336,196.19897868573855,GAS
11,121.6988930590161,119.37329189923877,GAS
12,226.05242863931971,233.4645852367231,LAW
13,162.41602131982458,169.9920708483683,LAW
14,200.7213158733759,200.1136091856828,GAS
15,214.45893664968426,217.59788278452464,LAW
16,251.68512787671773,251.57999009723437,GAS
17,289.3593133844394,288.9551022106356,GAS
18,142.6540118946031,142.7192737304673,LAW
19,148.70204291405068,151.09297259436008,LAW
20,128.178864580178,127.16946656033379,GAS
21,221.117035829813,216.52636789652612,GAS
22,250.6703373995507,247.77637555569063,GAS
23,224.5045038029585,219.10296467079468,GAS
24,273.19839218908265,274.4829716943647,LAW
25,300.256268076877,299.82426817681795,GAS
