Minisector,VER,ANT,Fastest
0,271.154147203208,273.4786217267829,ANT
1,298.95513742678,302.012378851498,ANT
2,312.141690354215,317.02992914896663,ANT
3,318.3925923555555,325.1535406105006,ANT
4,323.50305055873014,328.81039180317464,ANT
5,324.61701600344094,330.71730983009525,ANT
6,208.27594931474286,202.10644317206348,VER
7,108.27507600441879,109.8379988837539,ANT
8,187.47241204237207,192.71669879911897,ANT
9,261.23215409938337,264.203764296092,ANT
10,289.5606693742857,290.66280307777777,ANT
11,171.557917612693,160.2449609300066,VER
12,96.09234212037258,94.82655637484356,VER
13,115.49217136607633,116.86703674563708,ANT
14,216.47388996740742,219.49059242622832,ANT
15,191.91513147006594,189.77487216502047,VER
16,226.0677137423378,223.75044230095236,VER
17,182.40749459702522,183.00472376888888,ANT
18,236.536113819714,231.48339919409156,VER
19,276.32640674904064,277.33924696052287,ANT
20,252.32349063917835,244.3805038523153,VER
21,148.22691888010883,147.6495808013173,VER
22,93.64520823801789,96.65709866419515,ANT
23,126.7585236585843,122.4569670826392,VER
24,225.79081291660458,221.18061367389268,VER
25,,255.76249760000002,ANT
