Minisector,MAG,RAI,Fastest
0,288.1870856486544,313.01907957894736,RAI
1,195.10720860063702,193.59965575252576,MAG
2,227.20114289753252,222.98079035297556,MAG
3,270.96248411299723,280.8144388441911,RAI
4,230.8326397574251,238.06286888555226,RAI
5,126.06921478445646,120.8587595663986,MAG
6,208.4064017458231,205.74744379978625,MAG
7,255.67023780424555,255.6608636532054,MAG
8,206.21711134110703,201.43486076893367,MAG
9,205.89077649192143,205.48102794728763,MAG
10,261.9916225979027,266.60423881721323,RAI
11,208.0302130374152,201.3695772196696,MAG
12,175.42451125452635,172.43612023906678,MAG
13,256.07125769433105,261.5480229276631,RAI
14,276.97202825486653,286.72748232122126,RAI
15,258.39648874933914,260.4513585633142,RAI
16,238.231234561271,244.0653468563605,RAI
17,270.342304451212,283.38736008667286,RAI
18,283.12141609071637,304.610513393962,RAI
19,175.16597533907665,164.3681768026778,MAG
20,212.6579783113802,198.46988082299723,MAG
21,173.0577836587919,164.777240577695,MAG
22,140.9554734132263,137.60590293372198,MAG
23,237.02095519053023,241.95565592851776,RAI
24,275.0114171053826,292.74902936384467,RAI
25,285.45833173333335,,MAG
