Minisector,VER,HUL,Fastest
0,278.07342382423815,276.58203174015955,VER
1,293.40517076047706,295.81086846245455,HUL
2,288.50716644977774,294.1046168757122,HUL
3,185.2457295858079,189.95465489919874,HUL
4,128.48371273105846,123.27955691886905,VER
5,241.83968613604995,238.859811372043,VER
6,284.1154711586092,284.59656874508613,HUL
7,287.7578516923077,291.41950007466664,HUL
8,169.2818773561483,181.2127761877534,HUL
9,144.8044052565779,141.46638034051148,VER
10,253.2952613095546,251.7498623079108,VER
11,284.771000192,287.0564842431952,HUL
12,294.6134999893333,300.7737665382474,HUL
13,288.019283606613,286.989333248,VER
14,299.8918404444444,300.316475904,HUL
15,298.58802062222225,306.76760494634993,HUL
16,258.8636277280788,262.61651951020406,HUL
17,234.4218825496774,223.01849190173556,VER
18,285.2332537333333,279.6935068741014,VER
19,303.2615942956522,303.24246376811595,VER
20,300.6478330026667,301.8810384585002,HUL
21,232.83640919040232,225.7373286712316,VER
22,260.50854631292515,254.2566397067831,VER
23,142.76350124965356,137.8491114443109,VER
24,217.02543983857603,209.72978318071176,VER
25,,256.65899630888805,HUL
