Minisector,LEC,NOR,Fastest
0,273.63360506896333,270.80493656071303,LEC
1,299.35026004086575,295.8164692803688,LEC
2,313.10221886058366,310.4914238935488,LEC
3,322.0975001884444,318.82404178133334,LEC
4,325.54702395646257,322.8419876051582,LEC
5,324.4665909697048,325.184642976508,NOR
6,184.09583805938595,197.2617787423711,NOR
7,103.80161417814442,105.36732858272335,NOR
8,181.24917674026668,187.73025388190476,NOR
9,258.9766765792579,260.0641256063492,NOR
10,288.9026840407843,288.58001692867725,LEC
11,174.2477313006073,137.66694900066832,LEC
12,91.22739408333771,97.99061606940307,NOR
13,108.07080299831772,117.3434974253258,NOR
14,214.13773901588092,215.10328606873705,NOR
15,178.91205101136288,194.9179313087507,NOR
16,218.50290520618094,213.1208117445963,LEC
17,175.42094107133642,174.7971880436285,LEC
18,234.39678801283026,239.73721639438963,NOR
19,275.4440362066007,279.43808429545453,NOR
20,249.92297339221727,236.2210036747291,LEC
21,144.66920075988796,136.24945391729617,LEC
22,95.76626546231851,97.6168070903876,NOR
23,122.64272144629336,126.19947094199186,NOR
24,227.0468225511846,230.76790926777315,NOR
