Minisector,PER,RIC,Fastest
0,243.83464134133908,249.41195591594584,RIC
1,276.35126775652174,285.57604533494793,RIC
2,189.4589672008931,179.65456704111116,PER
3,151.50888887071469,154.18184859533037,RIC
4,257.77344579009815,259.41210362912625,RIC
5,269.099613030607,264.45464713846155,PER
6,219.26463602868176,219.65124821886494,RIC
7,201.5784393745228,192.52435371537416,PER
8,152.0204885087156,146.62454716356106,PER
9,209.48796927591908,215.28165040424142,RIC
10,271.96857080076194,269.02352648029466,PER
11,126.45091483397044,118.61727390428038,PER
12,205.36472166273754,219.8778698978463,RIC
13,267.79499942399997,273.2354778854229,RIC
14,287.13066720309075,291.0076891997602,RIC
15,293.59257252173916,298.5802239126014,RIC
16,251.3811384346522,221.95221112151341,PER
17,135.53919050893813,133.38073240852376,PER
18,130.0415860948986,128.54161074336284,PER
19,121.42160081090567,116.18348730915474,PER
20,221.4109693136225,229.8778437635164,RIC
21,250.92746850088184,249.8702604021164,PER
22,238.49406152366893,227.19229823750663,PER
23,217.89231816666666,204.2195017859944,PER
24,140.10113623538652,135.25015578034387,PER
25,214.0,,PER
