Minisector,RUS,OCO,Fastest
0,286.1290773409524,289.8965990109091,OCO
1,209.0016594901099,205.315474623136,RUS
2,224.82517247531374,224.99739770487616,OCO
3,270.2026444539362,273.09093196841127,OCO
4,241.16632801009007,236.2282626145055,RUS
5,132.5728226605729,129.55879703993668,RUS
6,214.7672971220202,214.65561722823196,RUS
7,260.81363811935745,253.9607842094437,RUS
8,249.67659992958153,234.263066624903,RUS
9,235.21552080099192,230.18731086950208,RUS
10,272.75802856412184,273.36521138594964,OCO
11,289.6684348882452,293.067344152,OCO
12,301.1664457198746,302.20169550358315,OCO
13,305.85699554971427,307.0737745568627,OCO
14,303.0836169386667,306.5710797791784,OCO
15,257.90606856171183,254.608838951342,RUS
16,242.25422246345914,235.299486363982,RUS
17,275.09441922599046,275.9308968853333,OCO
18,289.36938669515524,288.60729423665896,RUS
19,151.74491405335604,152.37193451466712,OCO
20,210.61334680702726,206.84994368113342,RUS
21,185.95859684431016,186.64319147200462,OCO
22,139.41316211778752,137.94549930205304,RUS
23,231.95165171315261,232.01039916561578,OCO
24,275.4012193979221,274.4618570278788,RUS
25,,288.01041706666666,OCO
