Minisector,NOR,VER,Fastest
0,270.92827709283836,266.4518452005442,NOR
1,287.25049071407403,284.84101377244446,NOR
2,292.6454845098136,287.87432963428574,NOR
3,127.80736396100038,131.03556462222224,VER
4,193.0471364116511,193.57474427841413,VER
5,253.23727930145904,255.37992266020203,VER
6,142.48028916204737,145.96495908379285,VER
7,209.16057859726206,201.73277988349207,NOR
8,256.40782508382875,256.77701923251334,VER
9,277.0347338487395,278.60327398453785,VER
10,245.11663545112782,245.54391228051946,VER
11,183.84484303941392,187.16042628088152,VER
12,195.22843165038137,201.74121535227053,VER
13,145.36674521751337,147.05550928603822,VER
14,179.25059218351254,174.65871207433818,NOR
15,160.7272364710787,165.6072931897702,VER
16,220.92601296888887,219.46153681087364,NOR
17,240.60129209561833,243.10571770088185,VER
18,244.9119567977938,243.56243765707873,NOR
19,240.32181521471327,246.93903105306123,VER
20,145.81785573672371,147.34271942849207,VER
21,131.8136269317624,139.80756838425734,VER
22,169.7263437302806,167.55297523450466,NOR
23,155.0862408649178,158.32081171333274,VER
24,233.2430161922902,226.20094286111643,NOR
25,,253.93500032,VER
