Minisector,RAI,LEC,Fastest
0,279.96943692917915,273.94688672422393,RAI
1,237.3685890880026,225.2189235360587,RAI
2,116.10882243382306,113.3412010585356,RAI
3,193.09854381152147,191.8304613865407,RAI
4,180.425647554406,181.826568792566,LEC
5,217.34015440007988,219.540881001664,LEC
6,281.8195577751095,275.8376527581535,RAI
7,299.599103790593,292.0844495157776,RAI
8,184.98431968929765,179.94563991294729,RAI
9,130.4734500989129,132.76499441579207,LEC
10,132.2724928877548,134.5959989275754,LEC
11,191.36019933188226,187.22844138670266,RAI
12,224.2261421087629,224.5904301883289,LEC
13,130.56841971667905,132.8181320462119,LEC
14,156.00531255668483,155.61708888210745,RAI
15,122.00103244792527,120.17783270093386,RAI
16,256.8982223458857,252.34480444675322,RAI
17,146.07677050392246,147.06123732946244,LEC
18,200.35156632063547,197.27614367795672,RAI
19,136.94685954284728,136.88938159684798,RAI
20,148.7638666087017,149.2172951314095,LEC
21,126.45335384760816,125.6873043381511,RAI
22,142.28052678359066,145.35620411101544,LEC
23,217.44429604737337,216.68347660576907,RAI
24,230.47488323701455,226.55614490189512,RAI
25,263.04166933333335,,RAI
