Minisector,GAS,RIC,Fastest
0,308.1671951601793,312.24769650516885,RIC
1,236.53392401507259,227.99111393733511,GAS
2,138.36779629854186,139.99060014146605,RIC
3,221.29338647606815,225.35415434909137,RIC
4,264.9211996349793,263.7891964509455,GAS
5,290.8878866601117,288.42916613333335,GAS
6,305.6902815445364,305.17983521493153,GAS
7,283.9615150573575,264.7485249115767,GAS
8,176.27634788857736,174.7436793250928,GAS
9,242.93462156182073,244.01181242110636,RIC
10,277.2153158972096,274.42545039754725,GAS
11,259.32084427434984,256.7547177275071,GAS
12,204.39516181285617,202.80995516634582,GAS
13,131.4243110420325,128.06187824132732,GAS
14,123.43054292000646,125.73762611765768,RIC
15,165.51241968012494,167.57567880648,RIC
16,124.79093521056956,128.95006296430896,RIC
17,226.57553187766413,227.22567366425474,RIC
18,188.50863617511152,184.0206331193949,GAS
19,164.78591122085456,165.50804325624017,RIC
20,249.7618524881719,247.7816816848801,GAS
21,279.4822929093231,276.4008468581238,GAS
22,294.01124107659996,293.31852405587057,GAS
23,302.12777799111115,303.0467328644764,RIC
24,305.55503363438004,308.9322634657954,RIC
25,,311.0,RIC
