Minisector,VER,MAG,Fastest
0,277.5088783352092,277.20869697742927,VER
1,241.8477544291957,231.4427159888657,VER
2,264.80592553823317,260.42061504777905,VER
3,281.3579649008158,280.1318918029246,VER
4,133.67244795003026,127.33900690202563,VER
5,211.9795670662673,209.61084571678822,VER
6,268.31837621179517,266.6153836098513,VER
7,287.6472222222222,289.2917122221251,MAG
8,296.28850768829705,300.51511192684865,MAG
9,298.52369707779656,304.84909658972657,MAG
10,280.05392156862746,282.7433678755638,MAG
11,106.19464345083912,99.42278043118763,VER
12,223.24342251838561,221.96990157650623,VER
13,268.8189567997484,267.7320298402578,VER
14,268.98267649122806,260.7350485188898,VER
15,135.28784441654886,124.52797076750973,VER
16,209.6988365305663,197.62359008070098,VER
17,257.631071711443,252.3024869952887,VER
18,257.5799420338555,247.51611197674293,VER
19,246.08893182288588,239.33720787953686,VER
20,154.59263135537128,147.58514079632596,VER
21,198.47707131271633,191.38813455213113,VER
22,178.82554877583055,160.05118716043464,VER
23,195.7765801953674,189.88564247161906,VER
24,251.12575314666137,248.49349562074,VER
25,268.46024980907094,,VER
