Minisector,PIA,TSU,Fastest
0,297.5119199927746,295.2670384952381,PIA
1,170.5059265722546,168.3475586588558,PIA
2,175.48174109373932,181.77508179098314,TSU
3,252.95768725394285,255.8535857932919,TSU
4,288.39125351339254,286.18904177132106,PIA
5,253.58724090510802,257.833082714589,TSU
6,233.62216212453134,232.68167667226126,PIA
7,157.398032446749,149.80009920870907,PIA
8,229.30860568435767,225.6285988332558,PIA
9,283.7347807047619,281.76266726170525,PIA
10,305.1311377750932,301.7219261523506,PIA
11,314.53563180440125,312.0976503073291,PIA
12,319.4846198269006,315.80893646019047,PIA
13,317.5215765982547,314.2966515009524,PIA
14,124.19838569530837,121.48567158098705,PIA
15,117.53197088204112,120.7178002705777,TSU
16,103.87297407637402,105.24611470776574,TSU
17,237.2980524051777,234.94047564008775,PIA
18,286.26661828848484,282.51633806736754,PIA
19,305.3883286030382,302.2075235544619,PIA
20,315.19712907402317,312.27848756507296,PIA
21,316.80897609916855,312.0493051428571,PIA
22,122.84793037376956,111.36163822216962,PIA
23,212.00121311181022,219.20578780176015,TSU
24,271.80091471179577,274.9989259761039,TSU
25,286.9124992,,PIA
