Minisector,RUS,HUL,Fastest
0,303.54930083321904,312.2021973267034,HUL
1,140.81160078486857,142.1566376529995,HUL
2,215.67041669333335,210.41973281333796,RUS
3,274.8898393946149,272.1125388876951,RUS
4,312.91494047577027,310.4415051435585,RUS
5,319.5001468302792,313.1250596417849,RUS
6,150.73846895131675,146.99441725897748,RUS
7,246.23947447641325,245.0300068474341,RUS
8,120.05506878163062,117.59560338467547,RUS
9,130.8947958883589,137.80234605820198,HUL
10,267.8922547162138,266.65003356086135,RUS
11,299.26378213818185,296.7846063390476,RUS
12,259.14005094352007,269.16888744902,HUL
13,155.98986832756384,147.07929873687746,RUS
14,267.73671003437454,269.2256035768255,HUL
15,304.41666211601733,303.5180284639813,RUS
16,319.8615603153623,320.30749520647504,HUL
17,330.6509482076564,327.9540992145125,RUS
18,335.8096102508642,334.07888371238096,RUS
19,335.3368985498413,332.72238883908904,RUS
20,239.83431099908287,237.99098925552667,RUS
21,149.05805223321715,147.799225770568,RUS
22,271.6831873484058,269.48922437708984,RUS
23,308.66782079125977,307.8881448444444,RUS
24,324.4693523428571,322.8000803690269,RUS
25,324.0,321.97343739999997,RUS
