Minisector,RUS,STR,Fastest
0,241.16573698033795,243.3331433482664,STR
1,272.17831581698164,279.7712411885714,STR
2,172.84490319314224,169.76461784760573,RUS
3,147.18533665745622,153.67878454953296,STR
4,255.94604492395385,257.146890305641,STR
5,267.30865057391304,259.4244104496722,RUS
6,237.574839315873,219.52982852690096,RUS
7,215.88528477586394,201.5616989220418,RUS
8,157.90070193396664,155.0096396830784,RUS
9,214.8230856449261,217.46919529244184,STR
10,265.78557703634175,274.9633801662628,STR
11,120.88305769547483,115.849554169496,RUS
12,203.4315726604345,216.52522805972447,STR
13,266.6092275912304,277.251914996148,STR
14,286.0714690835088,303.6387849110534,STR
15,289.76995758814815,315.00747538823526,STR
16,238.4344063195617,221.81780623016414,RUS
17,132.36242656349089,133.072731364268,STR
18,134.53165562939037,135.6649963570868,STR
19,121.40993494096529,122.77921191386504,STR
20,226.62669041140933,232.42259758711808,STR
21,254.79541449722407,256.60209123096536,STR
22,246.04744914839827,219.38963276731553,RUS
23,222.55460974398773,194.91592255532214,RUS
24,139.80338197525967,135.99625958227423,RUS
25,211.82499413333332,,RUS
