Minisector,RIC,LEC,Fastest
0,308.4810949393139,311.8859382341931,LEC
1,235.82407450451464,240.28609259371024,LEC
2,141.43425272962813,133.50974953908616,RIC
3,221.67552477613808,225.38441222707985,LEC
4,264.64584177847075,267.79103108331174,LEC
5,290.05992613773935,291.65904592806777,LEC
6,304.6062499809524,306.2221090337144,LEC
7,284.2968918779193,290.00179976162383,LEC
8,181.23430053892636,173.39669719187702,RIC
9,242.89594234587972,240.6365614927671,RIC
10,274.71014990007166,276.1907465753406,LEC
11,270.57588002785695,260.8148082106996,RIC
12,212.80300491410273,202.43673452449033,RIC
13,137.62875249207323,130.57750192680112,RIC
14,124.14195347129221,127.26257474296082,LEC
15,172.27789535952675,170.0305834952386,RIC
16,128.79527401333056,123.87123714622741,RIC
17,233.6376704740427,232.0606646764032,RIC
18,191.75651818483848,195.27424237540126,LEC
19,171.6005646913898,164.0464734686806,RIC
20,249.09414800995373,251.88575590702854,LEC
21,277.7044079369722,281.0984176440257,LEC
22,293.5540325705394,295.94810497560746,LEC
23,303.70852218004904,305.7714446318447,LEC
24,308.40125870746397,309.5062497544626,LEC
25,,310.67083413333336,LEC
