Minisector,ALO,HUL,Fastest
0,301.04494736128095,303.34321726402555,HUL
1,230.6516954019159,240.49325536880914,HUL
2,127.88922286953172,128.8503809711722,HUL
3,235.975832183296,239.9076745714224,HUL
4,194.10544624470435,189.73782079766428,ALO
5,244.08800194066026,245.90991518210623,HUL
6,230.9082035058128,230.36656592637985,ALO
7,258.5680701195765,253.484606441693,ALO
8,290.2361918781649,290.1567558945582,ALO
9,206.504999845152,212.89767486303202,HUL
10,210.00537632206348,202.97296344022496,ALO
11,271.92178831125915,273.4463764837987,HUL
12,209.4995970159997,217.06787449231044,HUL
13,256.1021951349184,247.69890140264576,ALO
14,292.80063391981423,290.9397533896753,ALO
15,307.43078953838506,306.566434966196,ALO
16,304.050409063663,307.62334673263246,HUL
17,211.4562972049056,212.8387227922106,HUL
18,261.9881663508379,260.18336585886203,ALO
19,294.67954898031746,293.3828654355245,ALO
20,308.89315791949207,308.8621088435374,ALO
21,309.80015412714357,312.132056529044,HUL
22,149.80585831349583,162.83637342625073,HUL
23,231.2912641671111,225.299004599447,ALO
24,285.49477060016034,282.8538990628571,ALO
25,,296.58666709333335,HUL
