Minisector,PIA,BEA,Fastest
0,282.296441105581,284.83803100952383,BEA
1,298.02225464339267,300.185423079873,BEA
2,236.75453922203857,238.48307657604568,BEA
3,119.44300951041421,114.9402253241569,PIA
4,132.45805626638557,136.6174748357897,BEA
5,254.9199146955225,252.82392484554342,PIA
6,264.7268761066667,261.3930877596265,PIA
7,121.58218720065825,121.06957372665214,PIA
8,244.88698290715445,244.72973454495775,PIA
9,258.7615845613766,252.46984007794873,PIA
10,218.227270784015,200.018177795747,PIA
11,140.36130188093017,138.15508133093778,PIA
12,203.45205855256427,204.53624543182684,BEA
13,266.76223325990003,267.4339210239703,BEA
14,117.14021628639948,121.45878618286947,BEA
15,192.95760804503269,189.0492938178526,PIA
16,260.75992379848174,260.13450181972036,PIA
17,290.287520827232,290.41244178406015,BEA
18,302.61809018962964,304.2406473788474,BEA
19,310.19804749321787,311.93201745964916,BEA
20,313.61251321227513,313.62370615017545,BEA
21,152.46468154116062,204.59018387376278,BEA
22,163.7626058650719,139.6043231965943,PIA
23,207.33322824070234,208.60984306655521,BEA
24,238.27661096921153,237.50758319460928,PIA
25,,270.85499904,BEA
