Minisector,GAS,BEA,Fastest
0,292.04598304409853,306.45488937168045,BEA
1,303.43993961430294,324.21136066400453,BEA
2,272.98093623210343,298.2931439438961,BEA
3,104.59820507410662,106.17561397998905,BEA
4,219.92952395016096,226.81058913481482,BEA
5,272.73181192762416,284.42500707312627,BEA
6,206.34809656470412,200.37328658652555,GAS
7,157.82998940814124,155.91642982545125,GAS
8,211.59905170370965,198.6209858957804,GAS
9,214.77108111578727,211.02382468675324,GAS
10,113.49880061770968,106.73388557255326,GAS
11,227.1137223644181,224.0341546827613,GAS
12,116.68465854995188,116.5055126392225,GAS
13,225.41181127602422,224.61890350890795,GAS
14,277.3154426141799,286.3181763466816,BEA
15,215.573577981277,208.75091171451825,GAS
16,189.47689490928818,179.57898293375314,GAS
17,250.522489668461,246.43720500756106,GAS
18,190.0441779669262,195.94318014495414,BEA
19,181.78654812520637,171.88448563892078,GAS
20,261.9244599589925,262.6658847,BEA
21,290.59288798718615,289.5972737581504,GAS
22,173.42206656028998,177.116978492402,BEA
23,206.89751253795094,202.7577031743174,GAS
24,270.1104622420756,273.96847140063494,BEA
25,,294.42323609579717,BEA
