Minisector,VER,RIC,Fastest
0,271.48414440624555,273.6000373688889,RIC
1,296.5654916480808,298.2659493252873,RIC
2,311.6037617579965,310.7257222682786,VER
3,318.0357378979744,318.65524168694674,RIC
4,322.3868590993007,323.4726191537415,RIC
5,323.89579476389343,325.76244805333334,RIC
6,194.50472123500995,198.6479463061771,RIC
7,107.11940648909771,102.68666083712601,VER
8,184.9400874999034,185.4180177489485,RIC
9,259.994010689801,261.6934876808714,RIC
10,289.2889396997442,291.06604431939394,RIC
11,169.96066052568543,162.57540666320472,VER
12,100.76607765938321,93.29877203765382,VER
13,114.53758203985608,113.17640018904683,VER
14,220.4414608795228,219.12070329693685,VER
15,188.2417106070226,185.4917209446728,VER
16,223.89554622713754,219.34748317312685,VER
17,176.82495946481052,171.15498006612944,VER
18,234.51729000973543,228.07863953279852,VER
19,273.9344899063168,275.9326641317647,RIC
20,241.36229764571428,245.91357221632765,RIC
21,144.87592633223778,143.11573892399932,VER
22,95.70110987911364,91.0645258320281,VER
23,124.88632413370064,121.61033049124885,VER
24,222.994038631101,217.04011213511112,VER
25,254.52142994285714,254.51134394074074,VER
