Minisector,GAS,VER,Fastest
0,271.02812565333335,270.28655258181817,GAS
1,287.56362214783144,291.9850872701754,VER
2,295.0426891931793,296.4687502814815,VER
3,133.95508682009483,128.03334876633443,GAS
4,200.45387647760313,188.78371726922825,GAS
5,258.01666732698413,254.9093253079365,GAS
6,151.35408740465772,145.58678099227836,GAS
7,204.97667608905445,198.20661188853614,GAS
8,258.04947632531685,257.7425929940522,GAS
9,278.8114037894737,282.15526321403513,VER
10,249.62644851014494,237.38151351415786,GAS
11,187.27542977996717,178.31413997767777,GAS
12,194.84273609881,188.26096358203287,GAS
13,156.3211464084656,147.86127671091194,GAS
14,185.58272883298105,174.9890937864079,GAS
15,169.25340548263222,163.43255745108226,GAS
16,218.5622854672824,218.3248201816551,GAS
17,242.76332023412263,228.94149395555556,GAS
18,243.08344268744588,236.01194572975618,GAS
19,250.9399324883613,238.0260660732824,GAS
20,146.8726856888889,143.36892831217202,GAS
21,142.9485289293319,135.8501376901007,GAS
22,175.65827502474409,170.81677600062994,GAS
23,157.3555139136058,148.72759768862161,GAS
24,232.70687854035785,228.20073439868753,GAS
