Minisector,HAM,TSU,Fastest
0,297.7533770178958,295.7463637754459,HAM
1,225.03533011674662,200.87415475396807,HAM
2,231.41943866920926,230.29751939050504,HAM
3,277.29851057012576,275.1678074344194,HAM
4,247.73490686788767,230.7382967798942,HAM
5,130.5431826382074,125.36407309677442,HAM
6,212.74547124370116,212.08786824036787,HAM
7,262.2047462460229,256.42143497910087,HAM
8,254.56326635267826,242.01550053052526,HAM
9,244.2700701465819,237.20437129258445,HAM
10,274.57708633293123,273.37110863178856,HAM
11,290.8835490457143,290.7681794677339,HAM
12,297.698206054321,298.48864329142856,TSU
13,300.9802400875176,301.52492957196444,TSU
14,296.2762999707268,299.8013944239674,TSU
15,258.70694973308593,254.88686328540393,HAM
16,249.32064895629716,244.05687678572144,HAM
17,278.3891690057836,277.1525178359486,HAM
18,289.97823529809017,286.4196715125802,HAM
19,159.10792780021973,157.08820015166086,HAM
20,212.0191228160031,212.76960253890363,TSU
21,204.7820179439653,178.5758377140774,HAM
22,136.55771370105015,144.29740360284495,TSU
23,243.95849424241646,239.21744503180375,HAM
24,280.3081356504473,282.0182992593743,TSU
