Minisector,HAM,LEC,Fastest
0,302.4023579608894,302.6308503715547,LEC
1,160.62861754139195,160.2536069379791,HAM
2,160.53534404472313,162.10611131606302,LEC
3,214.7302578605725,198.97082295187573,HAM
4,281.71626052294374,277.64861124444445,HAM
5,295.0666797889054,294.3781745269841,HAM
6,153.86618197218223,152.61984180583542,HAM
7,142.57633234924538,139.33770403150274,HAM
8,156.6866845555949,166.30233308341533,LEC
9,168.13574491045637,154.17114345381364,HAM
10,135.342967427839,138.03551416750048,LEC
11,127.7271365367481,131.03457006305328,LEC
12,154.95912974874688,144.75179006354918,HAM
13,262.8545967209065,254.99428399037888,HAM
14,287.62632576969696,282.1865943188406,HAM
15,153.39047416470083,156.9519833904762,LEC
16,215.88378244871865,206.19000015255284,HAM
17,161.5256425408678,155.07751587642275,HAM
18,264.2981737290207,255.71969495115815,HAM
19,290.04734865454543,282.03796005541125,HAM
20,303.8513425070578,291.9430399030303,HAM
21,312.7883333333333,301.62784096969693,HAM
22,318.19166679365077,306.8799603301587,HAM
23,322.82895829333336,310.62083333333334,HAM
24,319.74452958911564,308.23920450909094,HAM
25,,307.0,LEC
