Minisector,HAM,RAI,Fastest
0,302.4023579608894,299.07618435741057,HAM
1,160.62861754139195,157.1066173424036,HAM
2,160.53534404472313,159.18249885333333,HAM
3,214.7302578605725,210.69939932104748,HAM
4,281.71626052294374,283.11979202424243,RAI
5,295.0666797889054,296.78757007899185,RAI
6,153.86618197218223,148.20821572521098,HAM
7,142.57633234924538,138.1636731204543,HAM
8,156.6866845555949,156.44134844266233,HAM
9,168.13574491045637,163.53737979143543,HAM
10,135.342967427839,138.33948187906398,RAI
11,127.7271365367481,130.7895908427871,RAI
12,154.95912974874688,153.00742997212052,HAM
13,262.8545967209065,262.2606577128205,HAM
14,287.62632576969696,289.4592258285714,RAI
15,153.39047416470083,157.5861258156039,RAI
16,215.88378244871865,210.86174234107042,HAM
17,161.5256425408678,157.9441866198843,HAM
18,264.2981737290207,263.68148489012367,HAM
19,290.04734865454543,287.05333449001245,HAM
20,303.8513425070578,298.9373473973416,HAM
21,312.7883333333333,306.33038536417234,HAM
22,318.19166679365077,310.05169648000003,HAM
23,322.82895829333336,313.7099999466667,HAM
24,319.74452958911564,311.08590863566116,HAM
25,,311.0,RAI
