Minisector,SAI,PER,Fastest
0,289.7887316785708,301.8379700522637,PER
1,245.6184971634568,235.6408148024593,SAI
2,130.11966502225917,130.23524491928143,PER
3,238.46545921325702,238.03772721214156,SAI
4,188.53221871422443,192.15851107802533,PER
5,251.58824452022836,239.4033345534694,SAI
6,240.16540428342026,228.30097648457104,SAI
7,251.7720232925836,253.70919603617062,PER
8,280.5749485221978,289.2568910873844,PER
9,205.53324418222172,199.39975015101692,SAI
10,200.092534887092,205.77987626016807,PER
11,269.4866069265306,272.4550072340768,PER
12,207.74006791222308,207.6992226333231,SAI
13,251.82408006876085,250.09547605655467,SAI
14,288.5587712853837,292.68557372398266,PER
15,302.4702980888889,308.1640708864548,PER
16,301.73343771555557,310.27420510857144,PER
17,237.660145884329,231.7353973890478,SAI
18,267.4881232885197,271.3330439367033,PER
19,293.8115804814815,299.3672377784348,PER
20,304.9969787885714,313.4468613785639,PER
21,301.72865522274174,312.4999147245225,PER
22,157.18959309640633,146.37168281021775,SAI
23,230.97104592946127,237.21675374601398,PER
24,280.72773634058626,286.6734502424381,PER
