Minisector,LEC,COL,Fastest
0,279.7316376421053,261.90235690235687,LEC
1,120.3827322235722,115.34019375933131,LEC
2,162.20038947860317,172.64164476673645,COL
3,198.12594367175345,204.33015010351966,COL
4,157.51933904155842,162.58110705024248,COL
5,228.64607764391053,242.15683621933624,COL
6,181.1606312165419,192.56755736327878,COL
7,131.72416109518224,137.0430736900433,COL
8,239.70822465561906,237.5071761037037,LEC
9,286.38572300273773,290.75714285714287,COL
10,271.41016932712387,282.212599471193,COL
11,149.33315300628973,147.47654980199437,LEC
12,227.5131795474286,230.30390209957167,COL
13,277.0468585057143,279.141339869281,COL
14,263.15023851797594,237.9835835058661,LEC
15,102.18656710528893,100.02840448654523,LEC
16,230.37179136459332,232.85940918630305,COL
17,293.2820027238095,297.334460152074,COL
18,322.6418849225927,318.864455782313,LEC
19,334.4371180711111,326.0487244897959,LEC
20,331.6570392292571,328.9716904975238,LEC
21,284.54649134508895,243.35223214285716,LEC
22,149.70618521565657,150.38469717325833,COL
23,238.80657676374335,239.0482456140351,COL
24,297.43541684705883,283.05118706485683,LEC
25,311.0863639272727,,LEC
