Minisector,NOR,HAD,Fastest
0,289.38251743361633,287.6609683390899,NOR
1,308.2280208569632,304.05829753953935,NOR
2,306.89463772748127,300.26041106830996,NOR
3,202.47660522093827,203.72241385689293,HAD
4,234.83296652900688,236.3277442695305,HAD
5,223.29552268701394,225.40918319424338,HAD
6,206.3684201319243,207.4859161166298,HAD
7,231.2007974244898,232.19764581286304,HAD
8,269.8616592206803,268.5409740847502,NOR
9,280.7750992770054,268.07070980392155,NOR
10,175.74740024087237,180.10518937866124,HAD
11,237.23050922683788,235.33853965366254,NOR
12,120.74746247577983,119.31431130270333,NOR
13,226.21182384484848,221.394880788832,NOR
14,278.9295539796304,276.56730254575467,NOR
15,294.93797063372534,290.093404326351,NOR
16,218.91509913153592,215.44366134870495,NOR
17,187.01020483238415,190.07439541642793,HAD
18,267.54198741750645,267.40742259590587,NOR
19,295.26645361922897,292.8769259711111,NOR
20,306.75714644248194,304.34054360347824,NOR
21,306.5727381739683,305.06054030152956,NOR
22,273.89059448402116,275.59673290243387,HAD
23,118.46576931787276,120.218802800585,HAD
24,246.0484551628219,245.7995696043754,NOR
25,,273.44166613333334,HAD
