Minisector,PIA,LEC,Fastest
0,275.3691249689297,276.2683723843736,LEC
1,298.68489599343036,302.41166677930215,LEC
2,294.6264698150437,299.91267344900433,LEC
3,169.32393093007016,180.5440892515073,LEC
4,117.97110393509645,113.72099535543491,PIA
5,232.59246092326663,232.2271242014839,PIA
6,291.37575154349224,295.08208254172484,LEC
7,310.10615833162655,311.2854922917647,LEC
8,180.82211738769197,173.82446632827387,PIA
9,135.40103898359007,134.51675296702027,PIA
10,247.34881148354916,250.93961547496036,LEC
11,288.11094323620085,289.63276596135614,LEC
12,301.9477090875392,306.1114767542857,LEC
13,282.9140268071222,281.1993030869273,PIA
14,296.53151660773455,295.2894207168831,PIA
15,299.68818541945166,295.7071366276894,PIA
16,255.29022487487813,255.9360753700433,LEC
17,228.68463963978834,224.41207568845923,PIA
18,276.24069607120174,284.3041457291331,LEC
19,300.99782450701116,315.2693445379226,LEC
20,306.01578815317316,322.7849751026455,LEC
21,224.67735526128212,215.57187956945455,PIA
22,257.42945472361714,256.8960232031231,PIA
23,128.34379049728537,126.16612704882154,PIA
24,212.1528738388758,208.02053808699344,PIA
25,256.22500160000004,,PIA
