Minisector,RUS,HAM,Fastest
0,318.03630268478054,323.5774270720802,HAM
1,328.43404613132833,337.4033499190476,HAM
2,328.20205620037194,346.18394894351815,HAM
3,187.29258256868482,185.81796508970035,RUS
4,126.0733040174544,122.01036325528058,RUS
5,263.29019682905056,263.99541381643905,HAM
6,300.6544013991342,299.09925967593784,RUS
7,314.1330128,313.1726033646685,RUS
8,267.48490005707004,265.9697050743259,RUS
9,138.85128748018684,142.05223222859567,HAM
10,211.85126349871354,214.0543052268967,HAM
11,206.87507452527538,206.5121314130504,RUS
12,186.54075878565197,192.27131324639507,HAM
13,263.29435274352215,265.0172953216596,HAM
14,301.7223735044156,299.71495236558223,RUS
15,313.90156633040414,311.5479697696066,RUS
16,264.51979444627375,251.06132847081085,RUS
17,208.08356771416035,208.35442397141586,HAM
18,270.1545586269553,270.69846694726783,HAM
19,308.4036684988988,304.02447063703704,RUS
20,319.85662514726266,318.7438829361953,RUS
21,304.4281156791797,298.92047225620337,RUS
22,201.22956675917533,199.75765657489296,RUS
23,255.745977936734,257.7974498173545,HAM
24,300.2811744833016,297.0257742531987,RUS
25,,308.3277774222222,HAM
