Minisector,LEC,ZHO,Fastest
0,290.48054608911116,289.18463943962576,LEC
1,299.8024726189569,299.0530176548572,LEC
2,297.33171841664563,297.416398070704,ZHO
3,185.77186530000267,192.02340708320762,ZHO
4,208.70338687512765,207.4736996923392,LEC
5,204.14827123189121,205.89068315033413,ZHO
6,264.1331845638095,263.9796486748331,LEC
7,263.6907192367847,252.89219454984126,LEC
8,216.9128623056555,212.61596614583934,LEC
9,212.96102454567597,214.9481277161905,ZHO
10,141.430639933722,141.09500795624794,LEC
11,199.09319659532466,200.27384484680957,ZHO
12,192.58900524614032,189.10114508219343,LEC
13,254.0196806373394,250.39370791130162,LEC
14,180.60212389879763,182.5924860459137,ZHO
15,234.74798105846153,236.2202221867775,ZHO
16,278.2377867154051,280.4978482285714,ZHO
17,289.69955029671956,285.7887773461728,LEC
18,285.5642610241441,275.90178015301586,LEC
19,276.4688979420451,257.2815640568254,LEC
20,269.3064341862434,258.1950710768405,LEC
21,266.9167590282244,256.3266715239909,LEC
22,246.22720590489334,236.4036188213714,LEC
23,209.59375618306964,209.53431306911227,LEC
24,267.93481297850343,267.44955519457056,LEC
25,,283.0612496,ZHO
