Minisector,PIA,COL,Fastest
0,251.17189466893672,256.73572172280257,COL
1,136.29575279343567,138.84674300541533,COL
2,280.78467449766237,275.7463614845726,PIA
3,313.8910914289216,310.1831515480975,PIA
4,298.38418624,293.25591857629905,PIA
5,321.08412527768115,313.99232874023926,PIA
6,324.2734034717582,314.1394449378656,PIA
7,318.5317316806324,308.2816403143803,PIA
8,185.603688828409,184.40612721309472,PIA
9,192.1352612596486,187.103090310806,PIA
10,167.91604886484805,175.22291189916797,COL
11,173.70566283344982,164.5987289682096,PIA
12,248.61242069049229,242.29057802855866,PIA
13,263.2140419312799,262.1480836673016,PIA
14,262.69468585063333,259.4760012861235,PIA
15,248.56195593650793,247.68744462148325,PIA
16,172.7792623639827,168.66171015052635,PIA
17,187.6728238526281,185.43796950511634,PIA
18,249.7872044236991,244.7304045548006,PIA
19,294.77082539288494,296.2919360323115,COL
20,316.28499469446695,315.54581598152754,PIA
21,293.6128063830659,296.326631884237,COL
22,277.86238534433863,279.66192740703315,COL
23,235.25895526279635,247.62752297936785,COL
24,120.18612095629979,117.43956521541065,PIA
25,,230.944448,COL
