Minisector,VER,HAM,Fastest
0,276.1631768911977,286.46054187052135,HAM
1,293.9612135670991,313.3397656401867,HAM
2,231.59789792420912,222.7061818509825,VER
3,114.48743845626315,105.50370076283933,VER
4,130.37340284342164,126.33115380558229,VER
5,245.0577537142457,252.15920734222223,HAM
6,253.75824914133332,238.02799244359628,VER
7,123.80514301516864,116.20271398607127,VER
8,242.60808683521736,252.77983075604809,HAM
9,257.11014918521556,250.77195061938698,VER
10,211.0238971519951,203.14383370979894,VER
11,141.1290589872239,129.0397627921989,VER
12,199.98099467494646,200.9054663195331,HAM
13,258.4628580717745,252.3929239244964,VER
14,113.0643510298298,107.72163840632031,VER
15,187.4494057496255,190.21727545761766,HAM
16,253.15852848179787,255.8384036261793,HAM
17,285.22230755086514,290.41644437402596,HAM
18,298.78996305160507,306.8105961086958,HAM
19,304.93717535584415,322.44402957473073,HAM
20,307.40503475555556,330.25435859064936,HAM
21,176.80228691196726,139.84943159274889,VER
22,138.0516396517361,156.52683429194738,HAM
23,196.07928824482815,182.38101523407138,VER
24,230.0735899697163,234.34839094625013,HAM
25,262.0250016,,VER
