Minisector,VER,MAG,Fastest
0,286.934960551632,301.90717949307793,MAG
1,298.127696,319.7908856,MAG
2,303.60737957819845,328.82307184782337,MAG
3,303.85006246760224,329.41893596190477,MAG
4,190.9076958534947,165.4460521379686,VER
5,206.6829539277306,201.6757055723257,VER
6,244.50143226006267,240.00760947359967,VER
7,264.8147277367158,263.80519562413406,VER
8,273.50122014749047,278.766353433263,MAG
9,168.97134939862426,164.43131552099797,VER
10,224.75841922810233,225.17303662667,MAG
11,147.56528558678534,142.85055870402513,VER
12,210.7790760216918,217.9147386939635,MAG
13,218.56970543188393,208.15393338023668,VER
14,202.32519365361392,206.7489084920364,MAG
15,247.9193564256595,248.9242547711956,MAG
16,257.73328108847386,255.30936113586614,VER
17,280.49789898039216,281.58068305302413,MAG
18,185.7951882083341,157.1387280693808,VER
19,140.2715290837434,153.34087258317157,MAG
20,146.05971193605197,141.8873854632165,VER
21,181.9116015494312,173.21671268840933,VER
22,122.42171489385719,118.42022408688845,VER
23,209.27774983669246,219.29172762532994,MAG
24,263.82300023683007,270.010902564088,MAG
