Minisector,SAI,OCO,Fastest
0,292.9148549101449,293.5753071803687,OCO
1,300.73100656623376,302.6990531393939,OCO
2,274.50266820266665,283.4038168444444,OCO
3,113.7912399382668,116.7213987385477,OCO
4,231.52531977528935,216.93036814750923,SAI
5,273.43049954133335,276.0504880141283,OCO
6,202.36119639698717,219.62469918319815,OCO
7,175.46633732296436,162.69545445923328,SAI
8,216.61009120950177,213.5819005,SAI
9,222.53775596277603,217.78835299235107,SAI
10,119.80277344778231,117.3306013504943,SAI
11,235.5638520927834,228.78431970574712,SAI
12,119.66074322851331,123.03963050330655,OCO
13,227.92026573089643,222.8637908716162,SAI
14,273.98733468518793,273.1130242377143,SAI
15,215.8372848150865,223.16240648598404,OCO
16,207.13287720500347,191.5117871847619,SAI
17,253.64104924444447,254.74163914539847,OCO
18,196.33171034760935,203.90857634509803,OCO
19,194.16420690849128,184.52528160423282,SAI
20,269.05050984065815,264.098789408202,SAI
21,289.4232868899717,288.8245003659561,SAI
22,168.52143472388366,176.62206358367817,OCO
23,220.54358357245937,210.9839676694164,SAI
24,276.23258380551,271.6065813658,SAI
25,,285.73333279999997,OCO
