Minisector,GAS,LAW,Fastest
0,306.29041849007626,301.46618648161615,GAS
1,313.3722544857143,306.5884354176871,GAS
2,305.44756932664995,294.3283710731208,GAS
3,183.15779507926555,171.6803833247711,GAS
4,213.73297296534443,213.15938296008466,GAS
5,194.2750220080022,196.1471343211687,LAW
6,177.92708535140807,175.1185844387998,GAS
7,206.17589535183427,199.8407406231186,GAS
8,253.12258874305252,255.13294573496594,LAW
9,248.70173845622529,261.14290384646466,LAW
10,171.4006473946903,167.27898969368164,GAS
11,231.68870977738766,230.8137773238251,GAS
12,122.77509466598777,125.60459243412345,LAW
13,236.83218761488936,232.1299218126749,GAS
14,275.63446122221137,275.02744866468834,GAS
15,273.71936872242424,273.1254244796687,GAS
16,203.99862918439106,202.52930008380952,GAS
17,198.68281831909297,188.72383793893877,GAS
18,287.996551042384,284.52633863853794,GAS
19,317.4984032859504,316.8738194995946,GAS
20,317.24184777563573,325.7684438293207,LAW
21,296.9725861954579,303.8195522280877,LAW
22,255.38104302886447,263.97802243708196,LAW
23,124.12662463311571,122.2676795244321,GAS
24,248.12072816410256,245.62258486640155,GAS
25,291.34000128,287.5124992,GAS
