Minisector,ALB,STR,Fastest
0,257.5192416609524,262.14066140164203,STR
1,132.3295146881038,134.17818085779967,STR
2,267.0114555365651,266.3314360739089,ALB
3,311.958000128,312.3684397349206,STR
4,306.48901512727275,312.26045959932037,STR
5,314.68516676266665,320.55922603636367,STR
6,319.82136423108017,327.3314236,STR
7,317.6003696715729,326.0949276753623,STR
8,211.9084724667006,193.8997658585407,ALB
9,192.86635232470798,186.2478622124542,ALB
10,189.94415635405016,186.072802002591,ALB
11,165.63638698314483,163.85059436021163,ALB
12,252.43167368878713,251.19636284501888,ALB
13,275.36146882048536,277.46183892204584,STR
14,279.83960572014655,279.10968200142884,ALB
15,279.67177942941873,278.1308647407715,ALB
16,185.22957259816232,180.89058949297052,ALB
17,194.55941821273183,189.36019594236873,ALB
18,239.46856231250044,235.39166471200156,ALB
19,290.2334993449362,286.5880582963725,ALB
20,312.08710283809523,312.96489933168124,STR
21,317.79021746086954,321.58454961821946,STR
22,314.1987849777778,319.59415584415586,STR
23,259.15994351854755,266.3475611638752,STR
24,114.05386046380748,113.57355195487614,ALB
25,226.89582933333332,,ALB
