Minisector,HAM,VET,Fastest
0,306.0316470603174,302.76145128425827,HAM
1,244.96687550461772,240.2282818176661,HAM
2,193.56909680436925,196.82873665608466,VET
3,266.57718881347495,270.6230989399171,VET
4,216.45494155558166,226.6416665,VET
5,110.41729913786064,109.02830952501182,HAM
6,173.13683051916567,178.73185904509967,VET
7,257.96983481958847,257.79508944761903,HAM
8,288.5947243804096,283.95721778109504,HAM
9,303.24444462222226,297.4431666773333,HAM
10,307.4059527241083,301.1355902222222,HAM
11,239.24290453350758,236.82987737265745,HAM
12,143.9463807458478,145.77727289108546,VET
13,255.73573909590402,257.6302934366567,VET
14,290.39817693845754,288.1881045389918,HAM
15,298.6671664213333,296.1361112,HAM
16,290.240624984127,283.6721291860455,HAM
17,243.9597886646489,245.6253170336508,VET
18,170.69292420101627,172.48088771580942,VET
19,182.47203214134683,179.61774923767612,HAM
20,174.18832648043266,176.99456894095238,VET
21,238.57170568386636,242.49237015199944,VET
22,120.1460903709008,122.6471662780376,VET
23,199.20306352757555,188.80806690867814,HAM
24,281.4653691303709,281.21309550769234,HAM
25,295.10833386666667,,HAM
