Minisector,VER,RUS,Fastest
0,249.38007697083134,245.93359699453092,VER
1,128.74844669879087,118.18871239948567,VER
2,195.51848224432499,192.99530775862482,VER
3,244.12331141406452,241.93690309198877,VER
4,257.582701357037,250.9053277862789,VER
5,174.02104261659866,172.18044330763416,VER
6,144.3967283948736,143.98695265614177,VER
7,177.6899999841626,188.34230662095237,RUS
8,102.26832098306306,103.88260825872167,RUS
9,75.72108143933504,73.85038105711992,VER
10,95.89673283339188,93.23372738557887,VER
11,181.03981026872438,180.67627706970043,VER
12,240.03141306711228,242.64314480527474,RUS
13,256.99053308329,265.58525708698414,RUS
14,262.85532582548484,270.66425428280274,RUS
15,103.65009586431286,112.68518152806814,RUS
16,165.9568484365088,145.3275697437086,VER
17,185.1680781806098,180.26917611388475,VER
18,195.42878831814474,198.73919109756613,RUS
19,207.76862659499116,200.50608836571428,VER
20,132.41714328126983,127.55685616468864,VER
21,109.5977539005001,113.41170631126504,RUS
22,97.0372662833624,92.00544091253632,VER
23,205.07764263103334,191.57490676306793,VER
24,249.81627484675323,246.98340325180953,VER
25,,263.1939047878391,RUS
