Minisector,STR,VER,Fastest
0,266.8559150733933,273.5441670139669,VER
1,272.019241131815,232.82587194633876,STR
2,120.28488105321112,110.74719684664075,STR
3,156.61826797332458,181.6708644318495,VER
4,184.02030899112268,175.05355277511822,STR
5,195.30095716443273,212.64578952727274,VER
6,265.8375747777602,269.6316955689165,VER
7,285.21492610331893,288.6693696430252,VER
8,182.32439053496597,182.82124300999408,VER
9,127.96322097005559,121.62974053574548,STR
10,120.29363177008678,133.62245614527924,VER
11,176.27327106573543,178.90156842107936,VER
12,218.35895092708995,210.8576995177425,STR
13,127.08748680301032,128.73418053554357,VER
14,150.57396486341125,149.05385638305594,STR
15,113.81823731838385,115.98173136341127,VER
16,245.04139294217606,249.89175697011783,VER
17,153.09933933571762,134.9515215509385,STR
18,183.35999274561578,190.77626662865845,VER
19,127.98710985647703,118.82797557635881,STR
20,127.58969189990934,124.97240986356825,STR
21,116.77419586777839,120.71511252234292,VER
22,131.3907031528713,141.29301872933362,VER
23,212.31033883619048,213.91875866824975,VER
24,220.1286063760452,233.80486201826582,VER
