Minisector,PER,ALO,Fastest
0,270.49537064231816,267.7635700276408,PER
1,290.7292636146283,288.77966305092656,PER
2,294.1062950078908,295.55777320006393,ALO
3,125.75323065582411,123.39923536369521,PER
4,184.2234404250295,189.16473078762115,ALO
5,249.4282592671073,251.7262449254971,ALO
6,132.56965733188275,136.9349471807117,ALO
7,193.4600530537228,194.86366426706638,ALO
8,255.09247048516423,251.0501118750558,PER
9,280.48139863070264,279.03380271824267,PER
10,229.92039516883452,231.88037777577628,ALO
11,167.33259544441415,178.9095300920251,ALO
12,185.2486652118895,182.32629380466452,PER
13,140.83330507093822,145.32491761773676,ALO
14,175.7099963287423,169.55977761767286,PER
15,159.1078457488799,158.03018770719916,PER
16,214.03771861499843,212.77827447065923,PER
17,230.77504487499561,232.8155470706792,ALO
18,235.74347916937126,236.77352641535137,ALO
19,233.3728325608753,238.88315560411255,ALO
20,145.06881552020474,137.57960134692922,PER
21,128.2192191571726,138.53635329715667,ALO
22,163.84713447671623,161.45173551034316,PER
23,150.23936327564877,146.9593192893484,PER
24,224.93095213711175,217.10714942612066,PER
25,,251.6,ALO
