Minisector,LEC,HAM,Fastest
0,282.89616201145134,277.84665877413977,LEC
1,225.0196896121905,225.59900295314284,HAM
2,112.96005787010789,115.07980673564401,HAM
3,203.4426747604396,194.39284408950792,LEC
4,175.22314881173043,172.7526880344086,LEC
5,226.6729352626087,224.23582193112756,LEC
6,280.91931316494805,287.44931352804235,HAM
7,296.3399141502645,308.3663688804233,HAM
8,170.58416674370372,179.32162132841782,HAM
9,124.69237088349608,125.88817944304195,HAM
10,135.82114998663783,136.52811280853484,HAM
11,197.80151183004097,199.8250910945055,HAM
12,213.2996434140007,209.89194765294857,LEC
13,130.56868998706926,131.08546742113822,HAM
14,146.69977601635665,140.54282856892686,LEC
15,128.803929305831,133.6302570940795,HAM
16,256.17859352,264.29843962134635,HAM
17,143.28660864860728,135.44623849241756,LEC
18,210.38191391648354,204.08149384014206,LEC
19,133.87238571154634,132.7738038760271,LEC
20,148.87303717065637,145.64200663204943,LEC
21,126.75294579820229,128.50145636311748,HAM
22,155.90821524424783,151.48879398284691,LEC
23,224.7355825756347,222.51709396746614,LEC
24,242.33055547936505,242.58858731594205,HAM
25,268.7875008,,LEC
