Minisector,NOR,GAS,Fastest
0,310.83936685507626,294.08921079780663,NOR
1,231.92588043326984,234.41540364811286,GAS
2,125.85373560166941,132.15835970696827,GAS
3,231.09735853559238,239.50970771415135,GAS
4,190.95921449675407,181.6653991273908,NOR
5,240.65438880687313,234.72562336914876,NOR
6,226.3796831721495,221.72023375646336,NOR
7,252.46676853018064,243.84271998160918,NOR
8,278.28429404222226,281.39508684384,GAS
9,218.10041908398267,208.57635274074073,NOR
10,200.8853552110053,194.45134700516542,NOR
11,269.4616176944485,266.34927853280425,NOR
12,205.35472382894753,209.8195750711111,GAS
13,240.60601899353284,243.4005636569677,GAS
14,288.2119452908975,285.2099234830688,NOR
15,308.8303024272682,300.439180411993,NOR
16,308.44396964643994,302.72934986666667,NOR
17,224.42087150040152,232.6409764856505,GAS
18,264.1857924865682,262.26750110926395,NOR
19,297.37267568482923,290.3353545259977,NOR
20,316.55693864031707,304.0435231220897,NOR
21,315.9205152734199,305.5404779134852,NOR
22,141.29961440774397,154.8803116325255,GAS
23,233.0792730820063,224.87946660794344,NOR
24,290.5196357857833,276.4920276636444,NOR
25,303.17000064,287.4968752,NOR
