Minisector,PIA,TSU,Fastest
0,303.07624460720496,309.61305880242423,TSU
1,139.22729312674522,136.15422893963606,PIA
2,211.3151119808311,207.39907296446367,PIA
3,271.857040080202,271.0627501057173,PIA
4,310.24183106039624,309.0691089538756,PIA
5,316.5437320494686,312.11545325519035,PIA
6,145.96079780854927,146.20487124473837,TSU
7,237.3251408582369,241.0297693480635,TSU
8,111.83640716759457,116.45047070851392,TSU
9,143.78593585528515,143.83123479551662,TSU
10,271.37785314922735,268.305630903655,PIA
11,295.901779464127,298.22994780666664,TSU
12,251.67264187798625,249.13277721328038,PIA
13,150.8445755160602,149.61512144767238,PIA
14,271.13217456716757,270.2787563436903,PIA
15,305.8635881916958,306.5620587332475,TSU
16,321.6876458155102,321.33363707222225,PIA
17,329.3618526247304,327.73147414864434,PIA
18,335.41177978666667,332.3008887542857,PIA
19,337.10853114897503,335.9815373184265,PIA
20,229.02520965561763,239.5476780047649,TSU
21,154.55805110528152,151.64068555067433,PIA
22,271.2532397639548,272.8743112237037,TSU
23,311.1722722143245,309.0229284467725,PIA
24,325.05141227082254,324.2246475531313,PIA
