Minisector,NOR,GAS,Fastest
0,258.8895855014548,261.1467705426046,GAS
1,129.01754626147994,131.62571075571017,GAS
2,268.6667824289745,268.5934884675742,NOR
3,309.50696639999995,314.6821853006803,GAS
4,306.063813575041,314.835756549,GAS
5,314.69258074013607,324.8307318857143,GAS
6,319.90506720817564,331.2264660246914,GAS
7,315.10568796895944,325.3183121623745,GAS
8,198.1926121813829,188.06912620896935,NOR
9,197.3307232970403,194.22050583059362,NOR
10,177.04978983620546,183.6216889714286,GAS
11,162.70387898070314,166.3078068376814,GAS
12,250.69699683743858,252.08797390394835,GAS
13,280.5729958348244,272.5351563,NOR
14,286.7447241754205,277.1887304775372,NOR
15,277.1191830780654,274.7259106,NOR
16,181.81652368592768,183.6622372914346,GAS
17,192.30225583783948,191.85340074901833,NOR
18,242.19199311709085,244.22018681040592,GAS
19,290.50986763469984,288.95435139573067,NOR
20,311.66342581728395,311.63281803139034,NOR
21,320.386904821164,319.1598765432099,NOR
22,315.07113093333334,308.0302731101596,NOR
23,255.59729318435873,257.09346090783896,GAS
24,111.50897066350532,116.8077812445155,GAS
25,232.020832,,NOR
