Minisector,LEC,ALO,Fastest
0,298.287396766994,293.87666282666663,LEC
1,158.36096256155597,158.771121954544,ALO
2,153.36749079758138,150.54781423074047,LEC
3,221.8191571784089,222.3687432775988,ALO
4,284.79961114725273,283.33659503542856,LEC
5,294.69679487179485,288.427243774359,LEC
6,146.85736699120173,144.08494942012675,LEC
7,141.79925315153295,139.9729322537429,LEC
8,148.4499830856908,143.60619916723982,LEC
9,178.2828470549503,184.4626610101381,ALO
10,133.15019343242696,129.01665052097414,LEC
11,127.36542764841245,125.04661645671891,LEC
12,160.61206272029705,168.19187839716395,ALO
13,264.77246360653305,267.3427721300269,ALO
14,292.56971171282055,286.2871196177964,LEC
15,155.65983870320701,151.43735298249504,LEC
16,214.04068583081232,207.66642849523808,LEC
17,166.5327723315942,168.23808098541653,ALO
18,269.9951748028377,269.98731169439304,LEC
19,291.78400008533333,294.2571180888889,ALO
20,304.3590773012518,308.54035221587304,ALO
21,311.2256952774707,317.12159098181814,ALO
22,314.9594203362319,319.6984126984127,ALO
23,317.56404916976595,323.14278337163506,ALO
24,303.63845235809526,315.2572464231884,ALO
