Minisector,RUS,VER,Fastest
0,297.3017884232618,296.0934237600945,RUS
1,308.95395840888887,305.85777784,RUS
2,311.5168817107609,310.3010235634462,RUS
3,294.80904400089014,302.78299319727887,VER
4,160.2974438307279,173.2656250630005,VER
5,211.9448505819665,208.39643342034745,RUS
6,244.29098522874457,246.24280780650037,VER
7,271.55543120981474,272.48849376752906,VER
8,240.73766470580085,252.70620121723354,VER
9,161.7017579557639,161.96248317026107,VER
10,212.6678467949714,225.19676054766163,VER
11,125.07186771389475,130.77657178380508,VER
12,230.2341679483563,231.20088956686868,VER
13,176.76608481203252,175.61577760371887,RUS
14,224.13027426107107,215.0367658609248,RUS
15,246.98452208688994,245.58607967921992,RUS
16,270.00137054796994,265.4747988238993,RUS
17,300.88428920392994,289.50730645660747,RUS
18,144.90338366473458,156.48598188967372,VER
19,172.2993624398495,167.12679420209574,RUS
20,138.70045267635487,139.1629996566427,VER
21,232.02973291742902,222.28597225399594,RUS
22,265.4525935498183,265.2084658116402,RUS
23,255.60293035479202,258.35855853187553,VER
24,281.02800441803174,281.7387087268567,VER
25,,293.14166684444444,VER
