Minisector,PIA,GAS,Fastest
0,289.38222248296296,286.08754642719106,PIA
1,296.52481834713444,287.37241972705885,PIA
2,167.51651496320832,157.6686975950599,PIA
3,221.87008159815628,220.83842927238095,PIA
4,270.53243821883194,270.8276133868161,GAS
5,292.8957123413333,292.18223641650354,PIA
6,297.5039356444444,296.50828107488326,PIA
7,174.9564614908121,167.6038419956989,PIA
8,124.4025971723034,120.55557453639835,PIA
9,250.1613565511111,245.6550775328254,PIA
10,288.68512991525733,284.57841683746034,PIA
11,300.6843866495548,293.71662083555555,PIA
12,146.20685438203333,149.44038329296907,GAS
13,193.0973128752171,187.20254293502646,PIA
14,254.26812698324883,253.1881008193683,PIA
15,200.57119039459573,205.25769969097144,GAS
16,216.9397613277091,212.78782942371984,PIA
17,214.95714614760686,208.58710712,PIA
18,243.70749363580953,241.82852931795992,PIA
19,279.10839557078054,274.19664389995154,PIA
20,296.3451781746939,290.7654165485714,PIA
21,264.41037382858417,256.2775554350705,PIA
22,226.34527375447993,219.48606961986889,PIA
23,203.92102048979592,203.77793836312378,PIA
24,263.2673698976312,259.87877665865517,PIA
25,,278.1041664,GAS
