Minisector,STR,ALB,Fastest
0,292.6477026105862,297.6810478109091,ALB
1,302.425037593985,309.79537250424244,ALB
2,302.4420765257143,287.9587690813513,STR
3,104.88023948651475,106.944246022651,ALB
4,221.24768573769697,223.3027955898535,ALB
5,279.4261405369706,273.6028207464358,STR
6,219.77324524472664,195.60443279660868,STR
7,152.62373856139698,161.61462055124838,ALB
8,202.30000794056488,191.10052795171228,STR
9,219.61766870898285,202.95284455234,STR
10,115.77856724312635,110.06338597949423,STR
11,226.18176918890984,223.36180978889806,STR
12,120.71041031276893,110.05899265496103,STR
13,209.67270993329308,232.13156408297027,ALB
14,267.68884788333065,277.92021393859255,ALB
15,207.60953025103785,198.66757617294624,STR
16,190.95760402777483,192.73445901530343,ALB
17,239.15412267474747,242.09599491786483,ALB
18,193.8176900464943,180.34004855227698,STR
19,184.91207604384007,196.42344694678323,ALB
20,261.1965849625397,271.3140876190476,ALB
21,286.9619461906418,294.1154198929705,ALB
22,166.4207960766776,146.68017249293092,STR
23,208.53666218773336,223.069605927342,ALB
24,269.7337366621865,277.24211136802006,ALB
25,282.5928576,,STR
