Minisector,ALB,NOR,Fastest
0,273.54634493718225,274.91598373243573,NOR
1,290.4065238064762,294.9716666168889,NOR
2,289.09102907529603,290.76472569680635,NOR
3,197.63736962882882,178.9191936856812,ALB
4,124.14276575644733,122.57816341520731,ALB
5,238.78231674592934,239.36910918479836,NOR
6,280.63303602637365,279.8013791052242,ALB
7,287.711666688,285.3815707897436,ALB
8,187.43020713333334,176.8858125109867,ALB
9,141.7199871585785,139.64993725079464,ALB
10,249.69367511926134,251.36048236432265,NOR
11,284.40171740952377,286.4784623736003,NOR
12,296.02383338666664,293.1203334115555,ALB
13,290.94023808609523,287.00833322666665,ALB
14,299.0706256870897,301.96353560375525,NOR
15,298.69023779961907,303.2346016397516,NOR
16,259.34735313156966,252.33258138703326,ALB
17,227.4114927849797,227.64162998918553,NOR
18,280.47090725245795,282.4703828258144,NOR
19,302.87142139431245,301.32533316266665,ALB
20,304.63888844444443,300.0474463539487,ALB
21,235.50097480564384,228.6766297501854,ALB
22,260.73459893333336,253.73643745679107,ALB
23,140.90172801386288,133.23211634579457,ALB
24,213.2195225308337,217.84792220940614,NOR
25,255.81250133333333,,ALB
