Minisector,VER,STR,Fastest
0,275.56810115030146,281.86556722096327,STR
1,143.45973793292805,139.0042937082666,VER
2,223.58888015075567,212.1649866601271,VER
3,281.5232665606455,277.73222816646285,VER
4,306.57560476515846,308.9545157757098,STR
5,298.6267479359569,290.93779321358943,VER
6,155.39675422981853,148.3273854900381,VER
7,236.0252153436886,237.122932436434,STR
8,108.17962872997018,109.02220303762019,STR
9,176.71752603886142,167.75969064641887,VER
10,275.7756633441223,274.7235457475063,VER
11,298.2418541244784,296.4466660242352,VER
12,213.8246643355455,204.7733457901468,VER
13,175.3640252404457,178.77590755040202,STR
14,279.10564770001054,274.84661232014946,VER
15,306.5428686075607,309.4782890592077,STR
16,319.290989690086,321.7119550542684,STR
17,324.244718756815,328.7764244653134,STR
18,327.63277774222223,330.76561669523807,STR
19,321.8625460894788,325.54113998468193,STR
20,178.47371358459927,189.0956162022615,STR
21,181.97923258552484,172.7141677862003,VER
22,278.5986068082347,281.06426849326704,STR
23,308.86440616699866,310.5553417146705,STR
24,318.71971602194986,318.3391001134732,VER
