Minisector,LEC,ALB,Fastest
0,326.43647677575757,321.6347626181901,LEC
1,338.7019659777332,331.50020820444445,LEC
2,337.7965554123636,334.8788888335802,LEC
3,202.43183957471973,189.60595328189459,LEC
4,128.00142780482395,121.65487598558948,LEC
5,265.89930538329355,263.14706336620714,LEC
6,301.0045691018399,299.25399058770563,LEC
7,316.09238666158734,314.86378398836365,LEC
8,284.5083899741799,280.8659176299724,LEC
9,144.19276448379256,140.59808595310741,LEC
10,219.63401189789286,222.17690179810108,ALB
11,222.37933267613448,218.45055083008347,LEC
12,199.09180017840433,195.64289832953213,LEC
13,269.29795978926825,266.58658086969507,LEC
14,306.6627996521017,302.63406051845806,LEC
15,321.2331545752381,321.7720846641374,ALB
16,263.91060017005714,270.58355804327294,ALB
17,210.22363723073016,208.73764935417304,LEC
18,276.31426313403193,278.6309577892063,ALB
19,308.6806574493122,308.6946640389957,ALB
20,322.38931685453633,324.2389809900142,ALB
21,298.35732911543903,299.7499958345578,ALB
22,205.99039851547994,199.24099511163902,LEC
23,265.53110659065794,264.4041523523048,LEC
24,305.6494246049524,302.80191102195084,LEC
25,,311.49000064,ALB
