Minisector,VER,ALB,Fastest
0,293.26730425650993,292.21054207823937,VER
1,300.2896480169312,288.62260857260895,VER
2,170.24147444355668,168.95912632611834,VER
3,235.32646464667374,230.32369308583918,VER
4,277.65282029874686,274.77741268370926,VER
5,294.2509818167525,292.07190049356285,VER
6,302.4521164444444,297.9653695482723,VER
7,168.66751765238095,160.6675025820354,VER
8,143.51877247749292,142.44262237176224,VER
9,254.583618031746,253.00367557308834,VER
10,285.2624523234179,282.16282675212364,VER
11,297.71412023703704,286.0007042365915,VER
12,153.63380298440683,147.83856605738765,VER
13,208.03266850133332,206.44631515897436,VER
14,266.8702956045351,262.2201303704534,VER
15,206.61660743608198,209.4086229146739,ALB
16,232.75471174492756,229.52229609606627,VER
17,215.45534008185925,221.7806659272749,ALB
18,252.4248310639456,252.18724009333332,VER
19,278.7232460912281,277.11352590820627,VER
20,291.5902440336406,290.6389446343567,VER
21,272.6227365561905,267.4354158933333,VER
22,233.58540260041408,231.68476294108564,VER
23,226.49303047458457,216.19602532664496,VER
24,271.60570268070177,269.0913129697333,VER
25,286.0250016,284.92500160000003,VER
