Minisector,RUS,PER,Fastest
0,293.3330584977778,293.4756303090128,PER
1,303.4091573050815,307.3522865653781,PER
2,307.1250001185185,313.49293205360607,PER
3,308.7660489885714,314.7105764319533,PER
4,193.82953125520763,193.964190749899,PER
5,222.19807203995117,211.3323949409994,RUS
6,271.7780618206413,267.4414868525205,RUS
7,275.08010321608464,270.4520180462585,RUS
8,187.46950191480974,185.42107849932833,RUS
9,146.54922348557318,144.10659562398246,RUS
10,188.20582655000462,184.11184614302783,RUS
11,260.9959821355102,259.8598929928158,RUS
12,257.0767263153026,249.63836290666669,RUS
13,233.81457170186334,235.72831938726284,PER
14,274.0319666230524,275.2788120412698,PER
15,171.03627761625566,169.32364562989767,RUS
16,222.78163906748108,219.00961107602052,RUS
17,243.12930313333334,224.81150993506992,RUS
18,137.3592519567576,132.7956677645546,RUS
19,241.5405698819951,246.96721716079398,PER
20,280.2872073128594,283.542831375196,PER
21,252.2591349142857,221.22652302438567,RUS
22,142.2332948404144,140.47155033589772,RUS
23,213.2609192736508,220.06453868509263,PER
24,271.6482600646945,272.12410802886,PER
25,285.9750016,,RUS
