Minisector,GAS,TSU,Fastest
0,308.6804200599066,307.03916675199997,GAS
1,210.6108808121212,230.96279837252524,TSU
2,132.80813128259499,128.95103174028404,GAS
3,215.19792787990932,216.4566400585231,TSU
4,261.3411242659132,260.88276043281536,GAS
5,290.23647920522876,286.5747027570344,GAS
6,304.44149682176874,299.08871208311683,GAS
7,266.7944306973734,274.68601471525926,TSU
8,165.87384037988735,163.29262127813357,GAS
9,235.34725232479963,236.29263707827664,TSU
10,271.1268572657321,270.89663631327977,GAS
11,254.95943232120302,259.2072792645614,TSU
12,197.14605923357593,209.62687611826087,TSU
13,120.16090902993895,127.16920124736677,TSU
14,119.27150477440077,121.50207079166626,TSU
15,164.58057549318735,155.26747225970303,GAS
16,124.94559721695586,123.09224441409027,GAS
17,222.79994196970685,227.75452042599258,TSU
18,166.98981447941034,170.18829939111782,TSU
19,154.08141143386038,163.54903586274963,TSU
20,245.9043749751684,243.9770510357672,GAS
21,279.94230796867726,270.2103646637535,GAS
22,301.75929550526985,287.43020482054925,GAS
23,315.09489244090906,295.91578544410254,GAS
24,320.70192838745254,301.2077457791453,GAS
25,323.79499904,,GAS
