Minisector,NOR,HUL,Fastest
0,278.3171310811947,275.5571847887893,NOR
1,298.4426557386766,293.567944636271,NOR
2,298.95017011809523,288.5392237238598,NOR
3,183.22936163115133,176.5409853555069,NOR
4,117.82227898695666,116.5574443439761,NOR
5,241.26687300720235,235.74648820876786,NOR
6,282.282444935766,278.8985864058094,NOR
7,294.35608542698566,288.1580963504132,NOR
8,182.48809806211997,175.5790105970068,NOR
9,144.5976882650608,137.78155537191304,NOR
10,251.83451503869713,247.6522678804141,NOR
11,290.0338064202616,285.32574738147184,NOR
12,292.1546655363975,300.9233462528471,HUL
13,265.5021522147,279.77410498424246,HUL
14,297.15977072761905,299.1604474407241,HUL
15,300.2456359903455,297.36758997431247,NOR
16,247.30623170556066,254.44434966857142,HUL
17,226.4068545630226,224.74970290768812,NOR
18,281.9800259318212,275.7533502071795,NOR
19,305.75839021865227,300.95674169440133,NOR
20,309.64676114610404,306.2275778251082,NOR
21,241.10933553228548,244.22998695772625,HUL
22,261.30886973018505,255.9495411976003,NOR
23,132.6981829755002,149.6654980016128,HUL
24,221.10028647854546,201.1158575029054,NOR
25,,252.91125183999998,HUL
