Minisector,LEC,TSU,Fastest
0,247.29678643094667,249.45692882362303,TSU
1,285.14054926843477,284.7479092099048,LEC
2,182.87598439564442,179.2825028443224,LEC
3,160.80587557764704,159.79065162849503,LEC
4,254.8544009504228,256.0692460319414,TSU
5,275.16915158673044,268.2868110715509,LEC
6,247.93502241937426,233.97351907849622,LEC
7,219.55078727807197,204.8984559717983,LEC
8,159.39516788185654,162.845806772047,TSU
9,206.49917506584183,217.86243030016422,TSU
10,268.4913562050575,270.2266684137009,TSU
11,126.60333968787809,135.55955436565682,TSU
12,208.9966813677515,209.49219061534862,TSU
13,275.5211665236975,276.3727231462434,TSU
14,297.4301895031397,295.528412888658,LEC
15,309.0197284462064,304.9730324177778,LEC
16,248.71877022966058,235.04651390093835,LEC
17,125.56693069917986,128.16769787273992,TSU
18,127.98383819101676,124.26710034361354,LEC
19,117.57194252874243,120.24561936611595,TSU
20,227.09148223692424,225.83463740145882,LEC
21,259.73311722943725,258.30320817633196,LEC
22,241.06154232996724,239.81754684603172,LEC
23,218.27999449744067,216.67018143835787,LEC
24,136.45577947451793,134.4551705593004,LEC
