Minisector,BOT,ALB,Fastest
0,306.05689298590477,296.6048723160503,BOT
1,213.67613214253677,213.8346420580499,ALB
2,226.9023478866658,226.70146229242835,BOT
3,278.56797861248555,274.0897377491153,BOT
4,252.42172829139892,239.93670138758094,BOT
5,131.4244350495352,127.20501517862941,BOT
6,210.2700285238243,209.60817081872003,BOT
7,255.16470542933845,253.1198812612472,BOT
8,237.3510352578266,230.8402996254284,BOT
9,232.44098008180777,229.41874449970052,BOT
10,273.90761638617283,271.99120802321994,BOT
11,293.0185272617544,292.5179398679494,BOT
12,303.7734168586667,304.7613931088254,ALB
13,309.73146936541355,310.8597511296494,ALB
14,307.32523391369966,306.6669245710812,BOT
15,251.06404748843536,247.84308467442057,BOT
16,234.38082752737654,233.14670216666664,BOT
17,275.8483483173449,275.7795371167457,BOT
18,290.3506003605549,288.32420991788524,BOT
19,154.48890491856352,146.29558726249826,BOT
20,210.85727179880837,207.45020488156985,BOT
21,186.475635443318,174.18637825381563,BOT
22,138.12114716154161,141.76342333021424,ALB
23,238.45382867860587,237.84085740495863,BOT
24,279.00700057371427,280.19172583298246,ALB
25,288.73500032,,BOT
