Minisector,ANT,BEA,Fastest
0,285.42989293252526,295.9843333594228,BEA
1,292.72037033086417,305.42992192,BEA
2,244.97873723980186,236.37525902786598,ANT
3,122.99466022552889,115.84819315527348,ANT
4,127.62331136595566,136.0048186614478,BEA
5,252.04480089216932,257.5411320015903,BEA
6,268.7164326189899,257.60236118256853,ANT
7,126.39144341642158,122.80178474438664,ANT
8,250.3817781516883,244.1095262169412,ANT
9,256.4795269953674,248.69327389587303,ANT
10,214.6340009756499,212.67581526260503,ANT
11,151.7047285736341,149.54461768183893,ANT
12,194.26945464224664,200.28333847930094,BEA
13,255.6774873568007,263.3148949442142,BEA
14,124.1788180416055,116.4791545335587,ANT
15,180.7658730414781,180.3503987910101,ANT
16,261.13108808347823,260.7028084917513,ANT
17,309.59850519293445,309.7841495430606,BEA
18,319.8139353952153,318.72941075,ANT
19,313.5972782667862,322.49425546812273,BEA
20,307.87177228590826,326.3391874951111,BEA
21,218.5970792347386,193.0800214456041,ANT
22,134.97387323942888,137.87191825817413,BEA
23,191.01165446619072,184.10771223417626,ANT
24,236.07383971878494,228.76796774639217,ANT
25,275.26000128,258.0145829333334,ANT
