Minisector,RAI,HUL,Fastest
0,269.84850613005887,277.2879976612199,HUL
1,285.4769258789428,295.79495222383616,HUL
2,276.1442499503984,287.46277803495536,HUL
3,176.5316322234857,173.58018159245685,RAI
4,130.44654163836734,132.22859807612173,HUL
5,240.4025049145421,246.74445332076976,HUL
6,278.5520415152221,292.15694028013513,HUL
7,285.64281445535715,292.0070358683039,HUL
8,177.21974495560585,168.5032549971629,RAI
9,148.00393471511595,145.69684284524286,RAI
10,251.30023845712319,255.7642619986543,HUL
11,280.4557019700102,289.3744029592057,HUL
12,290.32746217835495,291.3161320402134,HUL
13,286.2450293705669,279.59087985955335,RAI
14,294.35373055485036,301.4414625995043,HUL
15,288.98265032315356,298.2342285673219,HUL
16,254.25163926385426,232.95364753259227,RAI
17,235.7226023162538,222.93694382059132,RAI
18,279.8911779855291,290.07923551029273,HUL
19,297.8528572342857,321.37635932136135,HUL
20,303.09484634557737,325.97392160172376,HUL
21,234.49844602978322,222.0095557934204,RAI
22,256.68240243895104,253.00212019133312,RAI
23,144.23888360990605,139.07202655847763,RAI
24,225.5062070526762,224.70068717826967,RAI
