Minisector,NOR,BOT,Fastest
0,258.66616437864906,240.01180866951745,NOR
1,131.5597641637816,124.19664047445886,NOR
2,202.031664431746,196.90356650136795,NOR
3,243.9389833966979,240.76205428571427,NOR
4,255.16650258479297,250.52888763259259,NOR
5,182.91536705333334,170.01315526656342,NOR
6,146.00920565077828,141.40084589477382,NOR
7,183.01662333621934,181.42760551055412,NOR
8,101.92619804632807,106.23940482161039,BOT
9,74.73630437043174,73.1458050981326,NOR
10,97.21558648728413,91.91725967155728,NOR
11,180.726836608,185.04438741333334,BOT
12,241.06064448358543,243.55222737194026,BOT
13,265.39675201088437,265.8098266888889,BOT
14,274.8107693128205,267.72129635116886,NOR
15,127.52770623456611,108.44832069440378,NOR
16,152.12192411681423,145.61907888729937,NOR
17,191.3637194180433,177.46268050927318,NOR
18,196.94912531049627,191.53370456810745,NOR
19,217.22645221736695,206.5358422632079,NOR
20,137.59768679558172,129.92015869943825,NOR
21,114.9471629997279,121.13501656221975,BOT
22,98.10449279122727,92.79089869176471,NOR
23,197.0244063774843,191.76852903978167,NOR
24,250.4335384387842,247.09608280999004,NOR
25,,261.5666688,BOT
