Minisector,PER,OCO,Fastest
0,279.41859830787877,278.34002788142146,PER
1,292.4420609105473,289.17610892751884,PER
2,297.79032120117785,294.69793201777776,PER
3,297.82619762229274,293.35934274091505,PER
4,168.63010107598228,159.9448364334226,PER
5,203.43906475720163,200.5717172591078,PER
6,232.15823288318217,220.015049624315,PER
7,263.89675268244895,259.55976449046057,PER
8,252.00902863480468,240.96001689606055,PER
9,155.18648475564004,150.03950391633228,PER
10,216.8773777542798,219.89136342749015,OCO
11,131.39065860502163,127.09998675434345,PER
12,223.41815232433748,223.53933332363422,OCO
13,175.52635330521406,166.59223135835686,PER
14,211.91127697772984,206.08649790003346,PER
15,226.23423015902807,225.10026385167563,PER
16,255.61433201874894,248.80001738558795,PER
17,283.66484937142855,277.4723985960635,PER
18,153.14393744279113,147.7098673035053,PER
19,164.27727968170373,158.66795152814132,PER
20,139.96438484401355,135.0540081648474,PER
21,153.58134135869707,152.49364024705145,PER
22,110.9591965904933,106.70472736315283,PER
23,217.58644956675323,210.15513757828077,PER
24,263.40286845765047,258.51433724644465,PER
25,,270.8427416774194,OCO
